timestamp,slotA,slotB
339718,690,
339718,2114,
339718,703,
339719,2115,
339719,701,
339719,2116,
339720,699,
339720,2140,
339720,699,
339720,2129,
339721,708,
339721,2117,
339721,709,
339722,2126,
339722,711,
339722,2120,
339723,709,
339723,2116,
339723,709,
339723,2121,
339723,698,
339724,2114,
339724,716,
339724,2126,
339724,712,
339725,2122,
339725,690,
339725,2124,
339726,701,
339726,2121,
339726,692,
339726,2115,
339727,711,
339727,2126,
339727,720,
339727,2124,
339728,697,
339728,2120,
339728,718,
339728,2109,
339729,694,
339729,2109,
339729,703,
339730,2108,
339730,700,
339730,2120,
339730,708,
339731,2128,
339731,697,
339731,2131,
339731,695,
339732,2115,
339732,694,
339732,2126,
339732,705,
339733,2118,
339733,705,
339733,2114,
339734,706,
339734,2103,
339740,696,
339740,2109,
339740,693,
339740,2126,
339740,719,
339741,2135,
339741,707,
339741,2114,
339742,689,
339742,2123,
339742,701,
339742,2137,
339743,708,
339743,2136,
339743,693,
339743,2133,
339744,707,
339744,2121,
339744,705,
339744,2113,
339745,700,
339745,2111,
339745,704,
339746,2134,
339746,702,
339746,2107,
339746,707,
339747,2112,
339747,701,
339747,2136,
339747,713,
339748,2111,
339748,698,
339748,2125,
339748,700,
339749,2126,
339749,716,
339749,2128,
339750,697,
339750,2131,
339750,709,
339750,2114,
339751,700,
339751,2124,
339751,689,
339751,2124,
339752,713,
339752,2136,
339752,704,
339752,2121,
339753,712,
339753,2118,
339753,719,
339754,2129,
339754,712,
339754,2116,
339754,711,
339755,2126,
339755,704,
339755,2123,
339755,703,
339756,2135,
339756,706,
339756,2117,
339756,711,
339757,2116,
339757,713,
339757,2119,
339758,691,
339758,2124,
339758,706,
339758,2116,
339759,696,
339759,2128,
339759,680,
339759,2118,
339760,705,
339760,2123,
339760,702,
339760,2126,
339761,694,
339761,2135,
339761,695,
339762,2120,
339762,702,
339762,2101,
339762,700,2118
339763,706,2117
339763,697,2123
339763,692,2127
339767,687,2129
339778,720,2140
339789,699,2122
339800,709,2124
339812,709,2127
339823,705,2115
339834,702,2112
339845,706,2098
339857,700,2116
339868,697,2126
339879,710,2122
339890,718,2122
339901,700,2139
339912,693,2116
339924,713,2119
339940,708,2121
339946,708,2134
339957,697,2130
339968,689,2120
339979,706,2121
339991,697,2127
340002,708,2121
340013,693,2127
340024,685,2136
340039,702,2121
340047,702,2120
340058,704,2121
340069,702,2129
340080,695,2125
340091,696,2123
340103,706,2113
340114,698,2123
340125,698,2115
340140,693,2116
340147,684,2124
340159,702,2118
340170,701,2136
340181,689,2121
340192,705,2124
340203,695,2112
340215,714,2118
340226,703,2104
340240,705,2130
340248,716,2123
340259,703,2114
340270,681,2112
340282,706,2125
340293,697,2127
340304,695,2123
340315,716,2103
340326,714,2118
340339,703,2110
340349,704,2129
340360,704,2124
340371,710,2120
340382,708,2116
340394,707,2120
340405,702,2144
340416,711,2130
340427,695,2129
340440,692,2127
340449,698,2111
340461,705,2119
340472,699,2113
340483,699,2117
340494,700,2118
340505,696,2125
340516,704,2125
340528,702,2125
340539,697,2115
340550,701,2119
340561,690,2122
340573,703,2125
340584,704,2104
340595,697,2122
340606,704,2117
340617,714,2111
340628,706,2128
340640,706,2109
340651,704,2129
340662,712,2122
340673,698,2124
340684,696,2116
340696,695,2129
340707,706,2121
340718,723,2121
340729,707,2112
340740,686,2110
340752,707,2125
340763,709,2123
340774,700,2123
340785,708,2126
340796,696,2113
340808,707,2117
340819,699,2129
340830,707,2116
340841,701,2129
340852,706,2108
340863,706,2113
340874,698,2104
340886,699,2115
340897,704,2120
340908,700,2135
340919,708,2121
340930,718,2122
340942,709,2122
340953,718,2103
340964,706,2134
340975,715,2129
340986,687,2110
340998,713,2130
341009,707,2112
341020,703,2128
341031,694,2121
341042,694,2132
341054,699,2117
341065,705,2127
341076,695,2115
341087,711,2113
341098,703,2115
341110,707,2124
341121,715,2104
341132,710,2121
341143,705,2114
341154,704,2132
341165,707,2127
341177,689,2121
341188,702,2126
341199,705,2126
341210,697,2118
341221,697,2109
341233,710,2122
341244,704,2119
341255,701,2125
341266,696,2122
341277,683,2110
341289,710,2118
341300,718,2128
341311,706,2114
341322,704,2125
341333,704,2122
341344,696,2118
341356,708,2113
341367,703,2122
341378,698,2123
341389,713,2124
341400,713,2112
341411,711,2124
341423,714,2120
341434,721,2122
341445,714,2127
341456,711,2115
341467,712,2120
341479,701,2106
341490,698,2122
341501,706,2115
341512,709,2118
341523,710,2116
341540,705,2113
341546,701,2103
341557,708,2116
341568,709,2119
341579,714,2121
341591,719,2116
341602,717,2127
341613,716,2114
341624,691,2111
341640,713,2108
341647,709,2109
341658,719,2121
341669,719,2115
341680,720,2102
341691,705,2126
341703,719,2122
341714,715,2096
341725,719,2135
341740,715,2118
341747,710,2111
341758,709,2107
341770,697,2116
341781,728,2118
341792,703,2114
341803,705,2114
341814,708,2108
341825,708,2122
341840,702,2111
341848,710,2117
341859,712,2106
341870,715,2120
341881,721,2125
341893,717,2121
341904,716,2122
341915,712,2103
341926,716,2123
341940,709,2115
341948,710,2122
341960,696,2114
341971,698,2116
341982,718,2118
341993,727,2143
342004,699,2129
342016,722,2107
342027,733,2140
342040,708,2147
342049,714,2159
342060,736,2147
342072,723,2130
342083,722,2156
342094,716,2215
342105,725,2196
342116,740,2220
342127,755,2256
342140,768,2282
342150,764,2284
342161,774,2336
342172,801,2373
342184,799,2433
342195,823,2458
342206,826,2500
342217,859,2554
342228,874,2589
342240,887,2634
342251,927,2687
342262,921,2729
342273,944,2789
342284,974,2846
342295,980,2920
342307,1020,2993
342318,1051,3071
342329,1077,3170
342340,1115,3278
342351,1181,3414
342362,1217,3568
342374,1291,3732
342385,1373,3980
342396,1481,4240
342407,1625,4597
342418,1824,5024
342430,2079,5618
342441,2413,6384
342452,2875,7380
342463,3487,8642
342474,4268,10230
342486,5294,12267
342497,6471,14537
342508,7543,16570
342519,8300,17997
342530,8634,18700
342541,8615,18906
342553,8406,18732
342564,8007,18136
342575,7288,16880
342586,6316,15047
342597,5252,13039
342609,4407,11333
342620,3834,10172
342631,3512,9509
342642,3381,9197
342653,3349,9128
342664,3428,9331
342676,3603,9836
342687,3928,10748
342698,4387,12019
342709,4915,13519
342721,5304,14734
342732,5577,15359
342743,5890,15781
342754,6257,16268
342765,6656,16924
342776,6997,17532
342788,7257,18007
342799,7369,18313
342810,7390,18500
342821,7307,18508
342832,7097,18445
342844,6902,18338
342855,6673,18400
342866,6485,18442
342877,6327,18299
342888,6162,18360
342899,6084,18875
342911,6246,20352
342922,7145,24912
342933,9886,37218
342944,14798,57988
342955,21361,83491
342967,32175,121082
342978,58195,129886
342989,118524,130542
343000,142772,134941
343011,144399,141508
343022,147844,146744
343034,105955,151769
343045,36347,156834
343056,18730,160122
343067,16813,160958
343078,16616,161108
343090,16637,161312
343101,17260,161307
343112,17210,161393
343123,17529,161357
343140,18091,161182
343146,18756,160870
343157,19626,160558
343168,20158,160436
343179,21209,160431
343190,23394,160401
343201,47544,159503
343213,88969,159224
343224,97008,159198
343240,67643,159558
343246,50560,159989
343257,50534,159692
343269,54374,159305
343280,51963,159170
343291,44372,159452
343302,37170,159481
343313,22561,160087
343325,17699,159984
343340,17303,160069
343347,16851,160028
343358,16426,159609
343369,15811,159326
343380,15547,158958
343392,15489,158888
343403,15533,158501
343414,15656,158112
343425,15608,157527
343440,15693,157199
343448,15969,156641
343459,16199,156118
343470,16331,155353
343481,16412,154688
343492,16830,153978
343504,16917,153298
343515,17205,152467
343526,17362,151725
343540,17520,150589
343548,17537,149560
343559,17641,148653
343571,17916,147440
343582,17965,146378
343593,18287,145472
343604,18272,144723
343615,18606,144250
343627,18574,143738
343639,18644,142991
343649,18868,142050
343660,18793,141756
343671,19257,140862
343682,19294,140444
343694,19681,139675
343705,19595,138969
343716,19924,138631
343727,19903,138058
343740,19931,137600
343749,19958,137134
343761,20503,136614
343772,20486,136242
343783,20604,135715
343794,20054,135248
343805,20750,134790
343817,21067,134378
343828,20999,134033
343839,21102,133688
343850,21528,133461
343861,21461,132973
343873,21380,132879
343884,21721,132561
343895,21854,132719
343906,21691,132730
343917,21649,132489
343928,21707,132261
343940,21953,132185
343951,22156,131675
343962,22248,131391
343973,22347,131123
343984,22369,131011
343995,22419,130435
344007,22663,130278
344018,22878,130017
344029,22867,129770
344040,22944,129899
344051,23193,129296
344062,23227,129053
344074,23381,128910
344085,23393,128728
344096,23631,128527
344107,23699,128191
344118,23862,128093
344130,23874,127862
344141,23587,127800
344152,23734,127825
344163,23851,127504
344174,23951,127121
344185,24103,127221
344197,24204,126898
344208,24340,126915
344219,23889,126740
344230,24387,126578
344241,24271,126604
344252,24066,126217
344264,24573,126321
344275,24466,126269
