timestamp,slotA
367983,142589.0
367994,142461.0
368005,142425.0
368017,142486.0
368028,142433.0
368040,142388.0
368050,142292.0
368061,142517.0
368072,142303.0
368083,141909.0
368095,141880.0
368106,141802.0
368117,141658.0
368128,141457.0
368139,141196.0
368150,141176.0
368161,141029.0
368173,141377.0
368184,141631.0
368195,142447.0
368206,142945.0
368217,143154.0
368228,143403.0
368240,143625.0
368251,143770.0
368262,143556.0
368273,143524.0
368284,143853.0
368295,143945.0
368307,143423.0
368318,143668.0
368329,143434.0
368340,143349.0
368351,143099.0
368362,143181.0
368374,143076.0
368385,142651.0
368396,142430.0
368407,142100.0
368418,142032.0
368429,141753.0
368441,141496.0
368452,141242.0
368463,140971.0
368474,140943.0
368485,140732.0
368496,140831.0
368507,140961.0
368519,141004.0
368530,141070.0
368541,141188.0
368552,141132.0
368563,141043.0
368574,140911.0
368585,140848.0
368597,140650.0
368608,140676.0
368619,140718.0
368630,140435.0
368641,140533.0
368652,140221.0
368664,139938.0
368675,139565.0
368686,139541.0
368697,138967.0
368708,138770.0
368719,138334.0
368731,137998.0
368742,138012.0
368753,138915.0
368764,139974.0
368775,141159.0
368786,141874.0
368797,142236.0
368809,142604.0
368820,142827.0
368831,142789.0
368842,142967.0
368853,142800.0
368864,142964.0
368876,142645.0
368887,142391.0
368898,142527.0
368909,142419.0
368920,142318.0
368931,141986.0
368943,141626.0
368954,141334.0
368965,140913.0
368976,140221.0
368987,140028.0
368998,139554.0
369009,139060.0
369021,138743.0
369032,138389.0
369043,138066.0
369054,137909.0
369065,137910.0
369076,137622.0
369088,137938.0
369099,138104.0
369110,138269.0
369121,138100.0
369132,138417.0
369143,138519.0
369154,138470.0
369166,138383.0
369177,138441.0
369188,138383.0
369199,138376.0
369210,138537.0
369221,138779.0
369233,137980.0
369244,138008.0
369255,137879.0
369266,137894.0
369277,137752.0
369288,137563.0
369299,137589.0
369311,137601.0
369322,137882.0
369333,138927.0
369344,140286.0
369355,141210.0
369366,141825.0
369378,141959.0
369389,142231.0
369400,142387.0
369411,142375.0
369422,142342.0
369433,142386.0
369445,142501.0
369456,142414.0
369467,142360.0
369478,142147.0
369489,142077.0
369500,141855.0
369512,141883.0
369523,141306.0
369534,141072.0
369545,140819.0
369556,140433.0
369567,140065.0
369578,139780.0
369590,139557.0
369601,139193.0
369612,139140.0
369623,139261.0
369634,139200.0
369645,139238.0
369656,139235.0
369668,139294.0
369679,139401.0
369690,139517.0
369701,139275.0
369712,139523.0
369723,139437.0
369740,139704.0
369746,139182.0
369757,139427.0
369768,139285.0
369779,139346.0
369790,139218.0
369801,139056.0
369813,138893.0
369824,138709.0
369840,138536.0
369846,138316.0
369857,138183.0
369868,137949.0
369880,137928.0
369891,138153.0
369902,138538.0
369913,139669.0
369924,140709.0
369940,141484.0
369947,141833.0
369958,142018.0
369969,142305.0
369980,142314.0
369991,142410.0
370002,142297.0
370014,142363.0
370025,142329.0
370039,142268.0
370047,142300.0
370058,142103.0
370069,141976.0
370080,141822.0
370092,141580.0
370103,141345.0
370114,140995.0
370125,140695.0
370140,140410.0
370147,140044.0
370158,139614.0
370170,139398.0
370181,139050.0
370192,139207.0
370203,139262.0
370214,139216.0
370225,139106.0
370239,139275.0
370248,139252.0
370259,139377.0
370270,139604.0
370281,139601.0
370292,139491.0
370304,139477.0
370315,139679.0
370326,139572.0
370340,139496.0
370348,139499.0
370359,139459.0
370370,139232.0
370382,139028.0
370393,138870.0
370404,138693.0
370415,138617.0
370426,138319.0
370440,138164.0
370449,137948.0
370460,137838.0
370471,137592.0
370482,137554.0
370493,137957.0
370504,138951.0
370515,140174.0
370527,141031.0
370540,141788.0
370549,141923.0
370560,142319.0
370571,142575.0
370582,142652.0
370594,142597.0
370605,141997.0
370616,142602.0
370627,142525.0
370640,142439.0
370649,142447.0
370661,142393.0
370672,142099.0
370683,141925.0
370694,141720.0
370705,141369.0
370716,141236.0
370728,140851.0
370739,140366.0
370750,139991.0
370761,139704.0
370772,139462.0
370783,139535.0
370794,139395.0
370805,139445.0
370817,139589.0
370828,139605.0
370840,139793.0
370850,139990.0
370861,140019.0
370872,140062.0
370884,140243.0
370895,140208.0
370906,140400.0
370917,140238.0
370928,140322.0
370940,140244.0
370951,139956.0
370962,140069.0
370973,139984.0
370984,139916.0
370995,139959.0
371006,139813.0
371018,139676.0
371029,139561.0
371040,139501.0
371051,139297.0
371062,139296.0
371073,139127.0
371084,138723.0
371096,139230.0
371107,139483.0
371118,140360.0
371129,141335.0
371140,142277.0
371151,142375.0
371163,142892.0
371174,142946.0
371185,143082.0
371196,143317.0
371207,143268.0
371218,143229.0
371230,143353.0
371241,143212.0
371252,143094.0
371263,143127.0
371274,142892.0
371285,142876.0
371296,142658.0
371308,142539.0
371319,142306.0
371330,142124.0
371341,141954.0
371352,141840.0
371363,141500.0
371374,141464.0
371386,141338.0
371397,141254.0
371408,141151.0
371419,141158.0
371430,141171.0
371441,141460.0
371453,141608.0
371464,141484.0
371475,141610.0
371486,141671.0
371497,141696.0
371508,141822.0
371519,141844.0
371531,141828.0
371542,141803.0
371553,141783.0
371564,141577.0
371575,141651.0
371587,141488.0
371598,141508.0
371609,141293.0
371620,141283.0
371631,141060.0
371642,141001.0
371653,140876.0
371665,140893.0
371676,140549.0
371687,140498.0
371698,140493.0
371709,140632.0
371720,141077.0
371732,141831.0
371743,142373.0
371754,142785.0
371765,142973.0
371776,143384.0
371787,143594.0
371798,143545.0
371810,143849.0
371821,143698.0
371832,143798.0
371843,143742.0
371854,143777.0
371865,143495.0
371876,143452.0
371888,143366.0
371899,143286.0
371910,143226.0
371921,143116.0
371932,142921.0
371943,142704.0
371955,142740.0
371966,142407.0
371977,142300.0
