timestamp,slotA,slotB
61307,88655,88536
61309,88657,88590
61314,88639,88745
61320,88606,88727
61325,89051,88571
61331,88817,88627
61336,88716,89008
61342,89051,88860
61348,89181,89006
61353,89040,89071
61359,89120,88875
61364,89220,89378
61370,89310,89047
61376,89500,89326
61381,89322,89241
61387,89477,89334
61392,89349,89062
61398,89735,89192
61407,89506,89609
61409,89712,89370
61414,89627,89611
61420,89934,89687
61426,89736,89909
61431,89952,89511
61437,89869,90364
61443,89914,89972
61448,89910,90109
61454,90159,90310
61459,89918,89879
61465,90155,90131
61470,90544,90549
61476,90359,90381
61481,90505,90319
61487,90633,90190
61493,90650,90557
61498,90717,90621
61506,90693,90442
61509,90555,90362
61515,90713,90363
61521,90839,90709
61526,90587,90768
61532,91042,90878
61538,90983,90778
61543,90974,90432
61549,90686,90569
61554,90551,90477
61560,90459,90222
61565,90415,90106
61571,90024,89826
61576,90180,89548
61582,89802,89507
61588,89331,89044
61593,89062,88925
61599,88926,88486
61607,88800,88216
61610,88481,88449
61615,88213,88188
61621,88103,88032
61627,87908,87499
61632,87530,87504
61638,87568,87718
61644,87433,87260
61649,86928,87503
61655,87461,87489
61660,87726,87271
61666,87178,86930
61671,87010,87178
61677,87067,86984
61683,87096,87146
61688,87005,87225
61694,86779,86987
61699,87156,86776
61706,87366,87216
61710,87178,87270
61716,87245,86927
61722,86906,87036
61727,87270,87159
61733,87261,86727
61738,87222,86862
61744,87195,86908
61750,87079,86640
61755,87212,86650
61761,87135,86956
61766,87189,86858
61772,87282,86839
61777,87008,86974
61783,87052,87142
61789,87264,86670
61794,87105,86881
61800,87205,87248
61807,87073,87418
61811,87139,87093
61817,87118,87437
61822,87091,87209
61828,86966,87358
61833,87306,87181
61839,87426,87290
61844,87488,87208
61850,87260,87276
61856,87267,87553
61861,87492,87299
61867,87688,87021
61872,87814,87406
61878,87551,87219
61884,87668,87020
61889,87489,86784
61895,87382,87255
61900,87753,87514
61907,87495,87503
61911,87593,87639
61917,87900,87514
61923,87566,87634
61928,87763,87614
61934,87609,87375
61939,87506,87748
61945,87919,88189
61951,88089,87793
61956,87869,88205
61962,88074,88111
61967,87716,88066
61973,88211,87987
61978,88416,88247
61984,88586,88129
61990,88492,88276
61995,88672,88197
62001,88190,88402
62007,88720,88113
62012,88607,88678
62018,89042,88379
62023,88736,88549
62029,89094,88607
62034,88771,88777
62040,89150,88936
62045,88828,89164
62051,89281,89051
62057,89476,88848
62062,89180,89110
62068,88961,89576
62073,89452,89171
62079,89147,89363
62085,89508,89282
62090,89709,89771
62096,89663,89538
62107,89669,89654
62107,89868,90221
62113,90122,89914
62118,90036,89700
62124,89774,89588
62129,89922,89927
62135,90630,89939
62140,89956,90273
62146,90266,89869
62151,90191,89856
62157,89988,90326
62163,90315,90498
62168,90439,90604
62174,90599,90379
62179,90400,90806
62185,90252,90729
62191,90672,90868
62196,90652,90619
62207,90761,90619
62207,90454,91004
62213,90575,90560
62219,90463,90015
62224,90401,90121
62230,90191,90085
62235,90068,89874
62241,89794,89565
62246,89940,88972
62252,89419,88757
62258,89413,88798
62263,88603,88518
62269,88466,88498
62274,88499,87973
62280,88470,88065
62286,87826,88089
62291,87900,87923
62297,87491,87428
62307,87805,87379
62308,87586,87043
62313,87545,87612
62319,87618,87488
62325,87666,86994
62330,87417,87369
62336,87349,87369
62341,87212,87574
62347,87315,87230
62352,87337,87147
62358,87072,86933
62364,87233,86933
62369,87298,87115
62375,87523,87235
62380,87248,87393
62386,87167,87218
62392,87384,87303
62397,87423,87472
62407,87506,87585
62408,87671,87672
62414,87336,87085
62420,87223,87193
62425,87542,87466
62431,87390,87122
62436,87629,87217
62442,87629,87505
62447,87623,87384
62453,87697,87278
62458,88022,87200
62464,87648,87444
62470,87748,87643
62475,87782,87614
62481,87608,87489
62487,87729,87979
62492,87987,87557
62498,88028,88126
62507,87718,87807
62509,87812,87618
62514,87930,88079
62520,87796,88127
62526,88227,88006
62531,88081,87943
62537,87979,87749
62542,88257,87851
62548,88015,87880
62553,88026,87910
62559,88032,87899
62565,88298,88219
62570,88135,87828
62576,88196,87839
62581,88067,87757
62587,88011,88186
62593,88233,87871
62598,88142,88334
62607,88165,87735
62609,88036,88135
62615,88531,88413
62620,88179,88311
62626,88323,88315
62632,88657,88325
62637,88555,88798
62643,88408,88302
62648,88461,88769
62654,88689,88607
62660,88996,88653
62665,89154,88563
62671,88804,88952
62676,88651,88713
62682,88957,88845
62687,88890,88468
62693,89150,88838
62699,89138,89011
62707,89472,88423
62710,89386,89307
62715,89358,88813
62721,89463,89015
62726,89191,89263
62732,89551,89206
62738,89356,89276
62743,89574,89209
62749,89377,89306
62755,89521,89871
62760,89434,89868
62766,89788,89885
62771,89576,90018
62777,89851,89868
62782,89663,90025
62788,90169,89924
62793,89843,89984
62799,90136,89951
62807,90145,89927
62810,90115,90174
62816,90147,90280
62821,90681,89986
62827,90334,90086
62833,90697,90248
62838,90541,90299
62844,90705,90219
62849,90668,90390
62855,90747,90305
62861,90795,90105
62866,90827,90657
62872,90800,90704
62877,90715,90867
62883,90723,90791
62888,90759,90838
62894,91006,90849
62900,90724,91158
62907,90719,91055
62911,90761,90779
62916,90998,90564
62922,90682,90485
62927,90320,90596
62933,90345,90363
62939,89970,89936
62944,89990,89993
62950,89923,89811
62956,89334,89446
62961,89106,89210
62967,88765,88891
62972,88490,88570
62978,88608,88228
62983,87855,88069
62989,87960,87354
62994,87553,87445
63000,87525,87474
63007,87299,86851
63011,87215,87064
63017,87284,86822
63022,87105,86738
63028,86779,86817
63034,86749,86445
63039,86377,86265
63045,87020,86467
63050,86545,86627
63056,86684,86325
63062,86103,86515
63067,86353,86394
63073,86226,86485
63078,86592,86555
63084,86093,86458
63089,86499,86480
63095,86210,86332
63101,86677,86688
63107,86586,86087
63112,86754,86171
63117,86114,86271
63123,86783,86378
63128,86732,86325
63134,86775,86215
63140,86546,86241
63145,86660,86285
63151,86712,86430
63156,87024,86384
63162,86547,86698
63168,86773,86543
63173,86508,86525
63179,86450,86723
63184,86298,86197
63190,86755,86509
63195,86787,86448
63201,86610,86680
63207,86724,86527
63212,86604,86551
63218,86409,86646
63223,86413,86157
63229,86537,86405
63235,86603,86372
63240,86403,86435
63246,86359,86204
63251,86479,86307
63257,86132,86349
63263,86588,86401
63268,86409,86098
63274,86333,86271
63279,86466,86048
63285,86454,86573
63290,86657,86020
63296,86635,86066
63307,86338,86117
63307,86826,86925
63313,86614,86072
63318,86666,86178
63324,86412,86324
63329,86327,86117
63335,86407,86450
63341,86661,86705
63346,86589,86788
63352,86759,86773
63357,86624,86742
63363,86784,86462
63369,86770,86886
63374,86552,86942
63380,87269,86995
63385,86842,86987
63391,87086,87132
63396,86957,86928
63407,87027,86969
63408,87131,87108
63413,87168,86644
63419,87009,86991
63424,87581,87338
63430,87245,87249
63435,87533,87083
63441,87622,87129
63447,87651,87073
63452,87877,87464
63458,87779,87502
63464,87539,87597
63469,87574,87334
63475,87622,87465
63480,87593,88060
63486,87613,87912
63491,87911,88093
63497,87700,87941
63507,87909,88092
63508,88043,87940
63514,87923,88059
63519,88244,87667
63525,88277,88645
63530,88320,87955
63536,88537,88294
63542,88316,87894
63547,88453,88349
63553,88664,88222
63558,88576,88417
63564,88312,88280
63570,88451,88184
63575,88269,88001
63581,88326,88099
63586,88181,87792
63592,87775,87954
63597,87799,87251
63606,87576,87475
63609,87106,87205
63614,86772,87435
63620,86940,86731
63625,86780,86717
63631,86297,86387
63637,86037,86330
63642,86189,86096
63648,85399,85778
63653,85931,85713
63659,85557,85513
63664,85269,85201
63670,85399,85404
63676,85430,85295
63681,85332,85174
63687,85451,85067
63692,85261,85141
63698,85426,85305
63707,85246,85011
63709,85117,84864
63715,85254,85349
63720,85130,84862
63726,85219,84803
63731,85326,85100
63737,84909,84623
63743,85376,85188
63748,85361,85512
63754,85171,85435
63759,84945,85439
63765,85093,85262
63771,85386,85276
63776,85471,85686
63782,85828,85650
63787,85639,85730
63793,86025,85437
63798,86020,85641
63806,86191,85784
63810,86208,85928
63815,86178,85968
63821,85997,86026
63826,86280,86004
63832,86049,85978
63838,86441,86210
63843,86156,86201
63849,86478,86088
63854,86465,86492
63860,86441,86622
63865,86496,86333
63871,86758,86503
63877,86610,86623
63882,86802,86564
63888,86913,86942
63893,86964,86652
63899,86775,86764
63907,86674,86735
63910,87205,86714
63916,87166,86688
63921,87215,86919
63927,87003,87170
63932,86833,87177
63938,87055,86918
63944,87095,86947
63949,86878,87039
63955,87613,87139
63960,87227,87064
63966,87068,86947
63971,87186,87243
63977,87308,87189
63983,87204,87575
63988,87317,87725
63994,87674,87436
63999,87496,87804
64007,87657,87921
64011,87826,87670
64016,87816,87840
64022,87973,87860
64027,88284,87891
64033,88409,88012
64038,88058,88049
64044,88386,88221
64050,88579,88057
64055,88499,88339
64061,88444,88365
64066,88561,88392
64072,88569,88620
64078,88601,88501
64083,88565,88826
64089,89011,89014
64094,88547,89139
64100,89119,89142
64107,89185,89178
64111,89051,89159
64117,89030,89594
64122,89534,89133
64128,89566,89138
64133,89863,89367
64139,89870,89478
64145,89440,89196
64150,89688,89777
64156,90031,89430
64161,90232,89683
64167,90126,89608
64173,90450,90123
64178,90236,89761
64184,89944,90057
64189,90122,89624
64195,89968,89938
64200,90149,90471
64207,90440,90299
64212,90244,90430
64217,90102,90150
64223,90452,90564
64228,90764,91028
64234,90595,90749
64239,90820,90752
64245,90801,90854
64251,91443,90528
64256,91007,90866
64262,91333,90848
64267,91258,90928
64273,91553,91103
64279,91499,90832
64284,91263,91151
64290,91194,91202
64295,91170,90860
64301,91227,91248
64307,91206,91219
64312,91294,91383
64318,91534,91354
64323,90987,91128
64329,90917,90813
64334,90557,90813
64340,90779,90502
64345,90331,90524
64351,90125,89932
64357,89591,89790
64362,89480,89283
64368,89549,89261
64374,89512,88727
64379,88690,88697
64385,89305,88527
64390,88527,88073
64396,88235,87884
64407,88089,87785
64407,87508,87816
64413,87218,87597
64418,87165,87298
64424,87119,87288
64429,87165,87127
64435,87261,86851
64440,86946,86860
64446,87169,87283
64452,86757,87023
64457,87283,87095
64463,86922,87012
64468,86993,86952
64474,87010,86806
64480,86953,86894
64485,87183,86756
64491,86902,86942
64496,86903,86864
64506,87314,86734
64507,87015,86263
64513,87191,87006
64519,86889,87185
64524,86989,87199
64530,87102,86790
64535,87260,87179
64541,86908,87338
64546,87182,87035
64552,86989,87309
64558,87338,87154
64563,87388,87184
64569,87415,87329
64574,87385,87121
64580,87444,87183
64586,87615,86996
64591,87512,87353
64597,87178,87039
64607,87503,87090
64608,87487,87157
64614,87532,86884
64619,87676,87288
64625,86968,87249
64630,87396,87401
64636,87235,87414
64641,87269,87449
64647,87161,87496
64652,87398,87507
64658,87511,87339
64664,87327,87479
64669,87838,87010
64675,87907,87471
64681,87563,87597
64686,87668,87228
64692,87489,87482
64697,87905,87720
64707,87707,87362
64708,87878,87288
64714,87742,87050
64720,87527,87448
64725,88012,87932
64731,88293,87747
64736,87645,87812
64742,87903,87809
64747,87652,87750
64753,87926,87974
64759,88098,87962
64764,87844,87965
64770,88090,88102
64775,88318,88453
64781,88313,88107
64787,87977,88572
64792,88177,88555
64798,88501,88748
64807,88452,88441
64809,88329,88395
64815,88615,88425
64820,88987,88548
64826,89061,88310
64831,88797,88255
64837,88855,88294
64842,89044,88228
64848,89048,88759
64854,88895,88772
64859,88742,88696
64865,89156,89153
64870,89356,89160
64876,89181,89370
64882,89099,89375
64887,89068,89301
64893,89036,89415
64898,89336,89361
64907,89181,89346
64909,89337,89443
64915,89634,89345
64920,89692,89647
64926,89730,89807
64932,90102,89560
64937,89696,89552
64943,90195,89549
64949,89899,89572
64954,89988,89848
64960,90144,89862
64965,90000,90328
64971,90210,89706
64976,90499,89964
64982,90390,90086
64987,90218,90338
64993,90282,90086
64999,90630,89944
65006,90340,90396
65010,90189,90378
65015,90292,90295
65021,90049,90128
65027,89839,90111
65032,89945,89860
65038,89838,90212
65043,89648,89602
65049,89353,89422
65055,89488,89274
65060,89060,88922
65066,88541,88732
65071,88440,88110
65077,88020,87699
65082,87910,87700
65088,87748,87133
65094,87114,87161
65099,86926,86640
65107,86278,86363
65110,86799,86389
65116,86052,86309
65121,86269,85891
65127,85894,85916
65133,85824,85820
65138,85555,85702
65144,85345,85621
65149,85330,85415
65155,85736,85401
65161,85241,85360
65166,85231,85407
65172,85473,85402
65177,85120,85323
65183,85028,85216
65188,85159,85099
65194,85047,85138
65200,85217,85187
65207,85647,85211
65211,85271,84947
65216,85445,84922
65222,85100,85155
65228,85902,85398
65233,85289,84820
65239,85516,85057
65244,85235,85078
65250,85297,85130
65256,85234,85277
65261,85381,84944
65267,85733,84978
65272,85528,85070
65278,85436,85356
65283,85501,85163
65289,85133,84993
65295,85513,85072
65300,85728,85044
65307,85395,85366
65311,85533,85219
65317,85574,85501
65322,85330,85555
65328,85265,85261
65334,85143,85380
65339,85203,85252
65345,84843,84994
65350,85267,85313
65356,85193,85170
65362,85042,85404
65367,85114,85369
65373,85355,85317
65378,85135,85300
65384,85307,85306
65389,85046,84777
65395,85018,85362
65401,84880,85441
65407,85144,85077
65412,85361,84890
65417,84970,84868
65423,85372,85245
65429,85467,85162
65434,85456,85113
65440,85116,84905
65445,85121,84689
65451,85425,84992
65456,85386,85436
65462,85896,85089
65468,85625,85273
65473,85702,85475
65479,85485,85808
65484,85662,85398
65490,85701,85600
65496,85432,85586
65501,85725,85949
65507,85950,85351
65512,85675,85670
65518,85808,85414
65524,85855,86050
65529,85923,86029
65535,86132,86116
65540,86304,85978
65546,86295,85882
65551,86299,86352
65557,86132,86315
65563,86379,86030
65568,86459,86513
65574,86865,86252
65579,86832,86528
65585,86694,86628
65591,86767,86087
65596,87018,86595
65607,87017,86480
65607,86791,86964
65613,86830,87020
65618,86744,86721
65624,86979,86848
65630,87312,86828
65635,87039,87215
65641,86883,86987
65646,87381,87102
65652,87207,87056
65657,87142,87266
65663,87423,87209
65669,87098,87231
65674,87367,87439
65680,87484,87414
65685,86983,87590
65691,87213,86894
65697,86909,87036
65706,87161,86424
65708,86521,86960
65713,86442,86361
65719,86103,86358
65725,86116,85912
65730,85841,85226
65736,85403,85284
65741,84970,84736
65747,84548,84603
65752,84489,84154
65758,84402,83383
65764,84028,83418
65769,83575,83024
65775,83248,83044
65780,83247,82778
65786,83321,82667
65791,82685,82477
65797,82852,82303
65807,82513,82144
65808,82367,82176
65814,82411,81986
65819,82241,82122
65825,81756,81960
65831,81981,82156
65836,82035,82102
65842,82055,82072
65847,81453,82049
65853,81909,82000
65858,82130,81716
65864,81918,82027
65870,82312,82014
65875,81684,81922
65881,81964,81655
65886,82057,81703
65892,81985,81402
65898,82013,81874
65907,81936,81869
65909,81752,81758
65914,82386,81701
65920,82304,81636
65926,81972,81631
65931,82052,81843
65937,82192,81764
65942,81948,81900
65948,82410,81809
65953,81867,82331
65959,81765,82323
65964,82098,82180
65970,82288,81994
65976,81846,82112
65981,82307,82013
65987,82035,82230
65993,81981,82136
65998,82765,81715
66007,82316,82060
66009,82545,82038
66015,82325,81962
66020,82229,81930
66026,82498,81924
66032,82582,81883
66037,81887,82233
66043,82374,82233
66048,82164,81888
66054,82212,82234
66059,82077,82253
66065,81798,81893
66071,82213,82203
66076,82189,82270
66082,82273,82292
66087,81927,82510
66093,82215,82439
66098,82163,82451
66107,82438,82228
66110,82423,82392
66115,82660,82207
66121,82516,82191
66126,82906,81900
66132,82519,82357
66138,83132,82345
66143,83019,82528
66149,82711,82832
66154,83011,82591
66160,82885,82387
66165,83408,82919
66171,83187,83128
66177,83064,82926
66182,83259,83016
66188,83108,83449
66193,83376,83314
66199,83568,83516
66207,83366,83444
66210,83368,83301
