timestamp,slotA-Channel1
20615,126686
20621,126701
20626,126758
20632,126847
20638,126902
20643,126948
20649,127023
20654,127114
20660,127194
20666,127195
20671,127317
20677,127439
20682,127486
20688,127628
20693,127667
20699,127757
20706,127791
20710,127911
20716,127957
20721,127992
20727,127971
20732,128133
20738,128061
20743,128192
20749,128189
20755,128216
20760,128290
20766,128367
20771,128397
20777,128495
20783,128515
20788,128574
20794,128596
20799,128734
20807,128598
20810,128767
20816,128796
20822,128833
20827,128921
20833,129008
20838,129031
20844,129102
20849,129333
20855,129221
20861,129261
20866,129341
20872,129411
20877,129415
20883,129513
20888,129591
20894,129589
20900,129654
20906,129759
20911,129805
20916,129910
20922,130003
20927,130049
20933,130084
20939,130081
20944,129891
20950,129787
20955,129588
20961,129229
20966,128800
20972,128265
20978,127612
20983,126992
20989,126460
20994,125994
21000,125609
21007,125225
21011,124743
21017,124242
21022,123694
21028,123021
21033,122535
21039,122001
21045,121549
21050,121103
21056,120623
21061,120230
21067,119857
21072,119560
21078,119565
21084,119648
21089,119936
21095,120170
21100,120405
21107,120610
21111,120727
21117,120884
21123,120984
21128,121101
21134,121213
21139,121339
21145,121457
21151,121547
21156,121697
21162,121786
21167,121926
21173,122034
21178,122171
21184,122309
21189,122352
21195,122456
21201,122539
21207,122643
21212,122663
21217,122831
21223,122817
21228,122886
21234,122983
21240,123001
21245,123089
21251,123193
21256,123224
21262,123213
21268,123354
21273,123370
21279,123415
21284,123188
21290,123439
21295,123477
21301,123549
21307,123531
21312,123630
21318,123693
21323,123708
21329,123645
21335,123755
21340,123891
21346,123835
21351,123928
21357,123971
21362,123976
21368,124155
21373,124106
21379,124176
21385,124307
21390,124362
21396,124469
21401,124560
21407,124653
21412,124754
21418,124887
21424,124955
21429,125067
21435,125163
21440,125311
21446,125336
21451,125488
21457,125581
21463,125606
21468,125685
21474,125722
21479,125795
21485,125892
21491,125917
21496,126001
21507,126086
21507,126128
21513,126159
21518,126257
21524,126207
21530,126310
21535,126316
21541,126413
21546,126416
21552,126541
21557,126595
21563,126666
21568,126748
21574,126859
21580,126959
21585,127053
21591,127155
21597,127203
21606,127331
21608,127417
21613,127531
21619,127683
21624,127820
21630,127926
21636,128071
21641,128133
21647,128268
21652,128340
21658,128405
21663,128430
21669,128461
21674,128406
21680,128235
21686,128088
21691,127840
21697,127531
21707,127207
21708,126849
21713,126396
21719,125904
21725,125415
21730,124952
21736,124405
21741,123973
21747,123495
21753,123113
21758,122786
21764,122550
21769,122407
21775,122359
21780,122200
21786,122162
21792,122107
21797,122042
21807,122099
21808,122181
21814,122174
21820,122273
21825,122316
21831,122499
21836,122537
21842,122746
21847,122873
21853,122994
21858,123169
21864,123399
21870,123537
21875,123760
21881,123890
21886,124075
21892,124256
21897,124409
21907,124553
21909,124684
21914,124823
21920,124935
21925,125030
21931,125199
21937,125220
21942,125305
21948,125359
21953,125442
21959,125538
21964,125536
21970,125560
21975,125606
21981,125596
21987,125624
21992,125627
21998,125644
22007,125604
22009,125625
22015,125676
22020,125655
22026,125680
22031,125659
22037,125725
22042,125657
22048,125736
22054,125682
22059,125760
22065,125703
22070,125772
22076,125742
22081,125820
22087,125821
22093,125976
22098,125914
22107,125969
22109,126002
22115,126044
22121,126095
22126,126170
22132,126276
22137,126273
22143,126396
22148,126426
22154,126472
22159,126590
22165,126648
22171,126771
22176,126806
22182,126894
22187,126944
22193,126982
22199,127130
22207,127100
22210,127161
22215,127165
22221,127213
22226,127305
22232,127302
22238,127377
22243,127370
22249,127455
22254,127548
22260,127580
22265,127696
22271,127767
22277,127761
22282,127867
22288,128001
22293,127959
22299,128086
22307,128134
22310,128199
22316,128227
22321,128334
22327,128318
22332,128436
22338,128428
22343,128494
22349,128466
22355,128389
22360,128256
22366,128148
22371,127990
22377,127745
22383,127459
22388,127164
22394,126759
22399,126294
22407,125811
22410,125214
22416,124776
22421,124385
22427,123998
22433,123737
22438,123457
22444,123196
22449,123109
22455,122954
22460,122859
22466,122814
22472,122689
22477,122701
22483,122671
22488,122751
22494,122699
22500,122772
22507,122896
22511,122941
22516,123000
22522,123072
22527,123140
22533,123287
22539,123430
22544,123502
22550,123675
22555,123799
22561,123933
22567,124033
22572,124227
22578,124399
22583,124471
22589,124615
22594,124705
22600,124841
22607,124900
22611,125000
22617,125162
22622,125245
22628,125253
22633,125331
22639,125355
22644,125372
22650,125356
22656,125444
22661,125644
22667,125620
22672,125393
22678,125452
22684,125449
22689,125396
22695,125421
22700,125392
22707,125376
22711,125405
22717,125387
22722,125431
22728,125466
22734,125505
22739,125610
22745,125619
22751,125689
22756,125705
22762,125766
22767,125877
22773,125944
22778,126015
22784,126079
22789,126136
22795,126210
22800,126260
22806,126277
22812,126321
22817,126398
22823,126491
22828,126490
22834,126612
22840,126642
22845,126735
22851,126778
22856,126858
22862,126869
22867,127028
22873,127086
22879,127144
22884,127281
22890,127344
22895,127397
22901,127473
22907,127484
22912,127629
22918,127697
22923,127761
22929,127867
22934,127935
22940,128046
22946,128086
22951,128183
22957,128225
22962,128339
22968,128424
22973,128543
22979,128519
22985,128472
22990,128688
22996,128764
23001,128864
23007,128876
23012,128913
23018,128951
23023,128894
23029,128895
23035,128834
23040,128644
23046,128447
23051,128168
23057,127771
23063,127471
23068,127025
23074,126615
23079,126155
23085,125716
23090,125265
23096,124710
23106,124251
23107,123981
23113,123734
23118,123542
23124,123453
23129,123354
23135,123321
23141,123096
23146,123350
23152,123291
23157,123363
23163,123420
23169,123491
23174,123623
23180,123779
23185,123925
23191,124037
23196,124141
23207,124329
23207,124506
23213,124675
23219,124838
23224,125025
23230,125210
23235,125404
23241,125571
23247,125744
23252,125891
23258,126032
23263,126279
23269,126366
23274,126522
23280,126631
23285,126839
23291,126863
23297,127051
23307,127072
23308,127258
23313,127310
23319,127399
23325,127490
23330,127618
23336,127620
23341,127757
23347,127776
23353,127861
23358,127895
23364,128038
23369,128013
23375,128112
23380,128164
23386,128237
23391,128271
23397,128408
23407,128404
23408,128495
23414,128517
23419,128555
23425,128588
23430,128692
23436,128750
23442,128864
23447,128881
23453,128970
23458,129018
23464,129064
23470,129206
23475,129290
23481,129345
23486,129494
23492,129568
23497,129644
23507,129765
23509,129779
23514,129942
23520,130100
23525,130087
23531,130217
23536,130263
23542,130393
23548,130397
23553,130544
23559,130604
23564,130708
23570,130754
23575,130869
23581,130861
23587,131006
23592,131035
23598,131120
23607,131183
23609,131270
23614,131332
23620,131456
23626,131497
23631,131584
23637,131650
23642,131738
23648,131808
23654,131919
23659,132002
23665,132097
23670,132160
23676,132236
23681,132197
23687,132201
23692,132224
23698,132091
23707,131946
23709,131706
23715,131461
23720,131204
23726,130861
23731,130455
23737,130134
23743,129642
23748,129213
23754,128800
23759,128344
23765,128015
23771,127632
23776,127223
23782,126878
23787,126601
23793,126450
23798,126255
23807,126154
23810,126132
23815,126099
23821,126089
23826,126136
23832,126178
23837,126255
23843,126362
23849,126396
23854,126566
23860,126602
23865,126758
23871,126985
23876,127072
23882,127211
23888,127358
23893,127529
23899,127644
23907,127862
23910,127998
23915,128168
23921,128289
23927,128460
23932,128621
23938,128734
23943,128844
23949,129007
23955,129148
23960,129311
23966,129335
23971,129620
23977,129636
23982,129773
23988,129935
23993,129981
23999,130059
24007,130142
24010,130229
24016,130337
24021,130341
24027,130499
24032,130543
24038,130658
24044,130718
24049,130824
24055,130874
24060,131005
24066,131052
24072,131187
24077,131181
24083,131226
24088,131329
24094,131360
24099,131447
24106,131531
24110,131483
24116,131616
24122,131633
24127,131744
24133,131829
24138,131951
24144,132063
24150,132107
24155,132208
24161,132313
24166,132408
24172,132488
24177,132566
24183,132734
24189,132752
24194,132824
24200,132883
24207,133027
24211,133115
24216,133220
24222,133274
24228,133353
24233,133392
24239,133475
24244,133531
24250,133603
24256,133654
24261,133775
24267,133812
24272,133892
24278,133903
24283,133991
24289,134061
24295,134174
24300,134233
24307,134287
24311,134356
24317,134445
24322,134460
24328,134557
24334,134631
24339,134692
24345,134715
24350,134809
24356,134830
24361,134960
24367,134989
24373,134983
24378,134993
24384,135054
24389,134926
24395,134903
24401,134728
24407,134494
24412,134233
24417,133919
24423,133555
24428,133210
24434,132848
24440,132462
24445,132093
24451,131742
24456,131382
24462,131109
24467,130822
24473,130515
24478,130251
24484,130146
24490,129908
24495,129851
24501,129751
24507,129718
24512,129777
24517,129824
24523,129883
24529,129933
24534,130007
24540,130193
24545,130323
24551,130500
24557,130655
24562,130902
24568,131050
24573,131169
24579,131372
24584,131546
24590,131638
24596,131845
24601,132012
24607,132106
24612,132223
24618,132383
24624,132493
24629,132686
24635,132774
24640,132847
24646,132954
24651,133057
24657,133150
24662,133267
24668,133305
24674,133414
24679,133383
24685,133496
24690,133528
24696,133676
24707,133707
24707,133736
24713,133818
24718,134077
24724,133924
24729,133969
24735,133993
24741,134052
24746,134092
24752,134199
24757,134139
24763,134230
24768,134285
24774,134310
24779,134302
24785,134400
24791,134456
24796,134533
24807,134649
24807,134643
24813,134728
24819,134809
24824,134850
24830,134948
24835,135030
24841,135071
24846,135141
24852,135262
24858,135335
24863,135478
24869,135537
24874,135591
24880,135696
24885,135727
24891,135729
24897,135804
24906,135851
24908,135847
24913,135906
24919,136042
24924,135989
24930,136108
24936,136126
24941,136177
24947,136280
24952,136297
24958,136412
24963,136533
24969,136542
24975,136633
24980,136705
24986,136741
24991,136774
24997,136851
25007,136920
25008,136952
25014,136980
25019,137055
25025,137087
25030,137188
25036,137201
25042,137264
25047,137348
25053,137323
25058,137332
25064,137256
25069,137237
25075,137136
25081,136963
25086,136750
25092,136514
25097,136134
25107,135846
25108,135548
25114,135222
25120,134816
25125,134492
25131,134180
25136,133833
25142,133627
25147,133366
25153,133159
25159,133009
25164,132760
25170,132661
25175,132552
25181,132471
25187,132422
25192,132416
25198,132369
25207,132486
25209,132487
25214,132586
25220,132669
25226,132845
25231,132947
25237,133096
25242,133265
25248,133395
25253,133574
25259,133749
25264,133872
25270,134098
25276,134267
25281,134456
25287,134576
25292,134714
25298,134780
25307,135011
25309,135113
25315,135239
25320,135324
25326,135450
25331,135572
25337,135605
25343,135704
25348,135780
25354,135791
25359,135844
25365,135884
25370,135902
25376,135930
25382,135721
25387,136014
25393,136028
25398,136053
25407,136167
25409,136162
25415,136216
25421,136245
25426,136258
25432,136356
25437,136344
25443,136449
25448,136482
25454,136537
25460,136586
25465,136532
25471,136598
25476,136592
25482,136659
25488,136727
25493,136810
25499,136844
25507,136958
25510,137081
25515,137072
25521,137193
25527,137249
25532,137361
25538,137393
25543,137506
25549,137574
25554,137604
25560,137679
25566,137711
25571,137797
25577,137856
25582,137843
25588,137897
25593,137994
25599,138004
25607,138125
25610,138172
25616,138259
25621,138294
25627,138334
25632,138434
25638,138396
25644,138525
25649,138539
25655,138572
25660,138647
25666,138721
25671,138739
25677,138783
25683,138823
25688,138850
25694,138852
25699,138817
25707,138812
25711,138760
25716,138607
25722,138498
25727,138219
25733,137901
25738,137647
25744,137341
25749,136978
25755,136656
25761,136372
25766,136034
25772,135689
25777,135433
25783,135203
25789,134967
25794,134916
25800,134765
25807,134639
25811,134548
25816,134520
25822,134536
25828,134579
25833,134551
25839,134688
25844,134696
25850,134745
25855,134724
25861,135084
25866,135173
25872,135327
25878,135462
25883,135693
25889,135855
25894,135986
25900,136191
25907,136409
25911,136538
25917,136719
25922,136882
25928,136995
25933,137156
25939,137307
25945,137378
25950,137437
25956,137544
25961,137671
25967,137692
25973,137794
25978,137798
25984,137911
25989,137962
25995,138001
26000,138062
26007,138065
26012,138088
26017,138158
26023,138153
26028,138110
26034,138225
26039,138220
26045,138247
26051,138274
26056,138255
26062,138352
26067,138346
26073,138367
26078,138399
26084,138422
26090,138474
26095,138544
26101,138566
26107,138567
26112,138563
26117,138612
26123,138656
26129,138704
26134,138758
26140,138795
26145,138836
26151,138880
26156,138903
26162,139002
26168,138990
26173,139031
26179,138968
26184,139103
26190,139227
26195,139253
26201,139249
26207,139264
26212,139358
26218,139368
26223,139446
26229,139544
26234,139595
26240,139569
26246,139618
26251,139665
26257,139804
26262,139849
26268,139876
26274,139966
26279,139995
26285,140071
26290,140075
26296,140051
26307,140028
26307,139978
26313,139823
26318,139624
26324,139435
26329,139081
26335,138837
26340,138474
26346,138085
26351,137735
26357,137305
26363,137055
26368,136745
26374,136424
26379,136263
26385,136069
26390,135859
26396,135801
26406,135591
26407,135546
26413,135464
26418,135437
26424,135403
26429,135441
26435,135456
26441,135533
26446,135569
26452,135760
26457,135748
26463,135965
26469,136085
26474,136298
26480,136361
26485,136486
26491,136637
26496,136842
26507,136947
26508,137094
26513,137259
26519,137413
26524,137506
26530,137624
26535,137760
26541,137910
26547,137979
26552,138067
26558,138165
26563,138196
26569,138288
26575,138479
26580,138395
26586,138406
26591,138455
26597,138511
26607,138497
26608,138594
26614,138579
26619,138553
26625,138649
26630,138790
26636,138839
26641,138851
26647,138878
26653,138917
26658,138936
26664,139016
26669,139062
26675,139150
26680,139162
26686,139162
26692,139260
26697,139285
26707,139341
26708,139385
26714,139460
26719,139485
26725,139583
26731,139585
26736,139657
26742,139667
26747,139694
26753,139777
26759,139854
26764,139879
26770,139954
26775,139971
26781,140063
26786,140125
26792,140141
26797,140212
26807,140297
26809,140355
26814,140396
26820,140434
26825,140504
26831,140505
26836,140585
26842,140540
26848,140640
26853,140649
26859,140631
26864,140631
26870,140620
26876,140472
26881,140287
26887,140072
26892,139789
26898,139499
26907,139133
26909,138734
26915,138355
26920,137957
26926,137466
26931,137128
26937,136730
26943,136406
26948,136144
26954,135880
26959,135412
26965,135367
26970,135132
26976,134991
26981,134928
26987,134849
26993,134810
26998,134863
27007,134839
27009,134887
27015,134844
27020,135038
27026,135059
27032,135197
27037,135317
27043,135423
27048,135593
27054,135748
27060,135855
27065,136040
27071,136152
27076,136312
27082,136425
27087,136556
27093,136731
27098,136813
27107,136932
27110,137114
27115,137123
27121,137253
27126,137330
27132,137415
27138,137402
27143,137508
27149,137538
27154,137594
27160,137586
27165,137654
27171,137650
27177,137699
27182,137717
27188,137701
27193,137725
27199,137737
27207,137760
27210,137798
27216,137764
27221,137762
27227,137827
27232,137844
27238,137873
27244,137940
27249,137932
27255,137965
27260,138054
27266,138078
27271,138164
27277,138151
27282,138255
27288,138312
27294,138340
27299,138417
27307,138535
27310,138527
27316,138585
27322,138634
27327,138681
27333,138762
27338,138870
27344,138910
27349,139072
27355,139105
27361,139216
27366,139323
27372,139376
27377,139457
27383,139566
27388,139600
27394,139701
27400,139785
27407,139836
27411,139931
27416,139999
27422,140024
27427,140135
27433,140163
27439,140123
27444,140089
27450,139928
27455,139703
27461,139478
27466,139113
27472,138756
27477,138225
27483,137833
27489,137232
27494,136698
27500,136186
27507,135595
27511,135043
27517,134340
27522,133879
27528,133475
27533,133186
27539,132861
27545,132721
27550,132534
27556,132395
27561,132224
27567,132174
27572,132103
27578,132161
27583,132134
27589,132186
27595,132157
27600,132259
27607,132285
27611,132383
27617,132474
27622,132604
27628,132678
27634,132821
27639,132890
27645,133018
27650,133153
27656,133158
27662,133374
27667,133536
27673,133686
27678,133827
27684,133956
27689,134070
27695,134201
27701,134308
27707,134396
27712,134525
27717,134580
27723,134707
27728,134738
27734,134838
27740,134958
27745,135007
27751,135073
27756,135147
27762,135168
27767,135270
27773,135315
27779,135324
27784,135407
27790,135439
27795,135450
27801,135518
27807,135504
27812,135568
27818,135525
27823,135608
27829,135703
27834,135743
27840,135795
27845,135840
27851,135911
27857,135827
27862,136007
27868,136097
27873,136190
27879,136218
27885,136290
27890,136312
27896,136370
27906,136474
27907,136461
27912,136583
27918,136716
27924,136683
27929,136888
27935,136868
27940,136971
27946,137090
27951,137174
27957,137204
27962,137299
27968,137358
27974,137460
27979,137546
27985,137667
27991,137747
27996,137825
28007,137890
28007,137938
28013,138018
28018,138054
28024,138040
28030,138183
28035,138044
28041,138006
28046,137910
28052,137592
28057,137529
28063,137182
28068,136803
28074,136383
28080,135959
28085,135452
28091,134895
28096,134383
28106,133760
28107,133254
28113,132655
28119,132157
28124,131832
28130,131493
28135,131293
28141,131081
28147,130905
28152,130780
28158,130694
28163,130564
28169,130587
28174,130498
28180,130492
28186,130528
28191,130564
28197,130589
28207,130671
28208,130665
28213,130795
28219,130823
28225,130956
28230,131027
28236,131193
28241,131299
28247,131521
28252,131595
28258,131686
28263,131933
28269,131996
28275,132120
28280,132293
28286,132395
28291,132543
28297,132613
28307,132708
28308,132836
28314,132860
28319,132945
28325,133081
28331,133079
28336,133133
28342,133231
28347,133245
28353,133325
28358,133305
28364,133363
28369,133367
28375,133435
28381,133420
28386,133476
28392,133490
28397,133499
28407,133566
28408,133643
28414,133611
28420,133712
28425,133734
28431,133755
28436,133858
28442,133972
28448,134032
28453,134183
28459,134236
28464,134347
28470,134425
28475,134582
28481,134650
28487,134791
28492,134900
28498,135047
28507,135207
28509,135309
28514,135409
28520,135547
28526,135674
28531,135994
28537,135880
28542,135972
28548,136093
28553,136177
28559,136329
28565,136403
28570,136495
28576,136553
28581,136570
28587,136737
28593,136791
28598,136816
28607,136871
28609,136935
28615,136944
28620,137013
28626,137131
28632,137179
28637,137270
28643,137280
28648,137391
28654,137458
28659,137511
28665,137596
28671,137680
28676,137744
28682,137825
28687,137927
28693,137931
28698,137982
28707,137956
28710,137903
28715,137819
28721,137700
28726,137372
28732,136995
28737,136654
28743,136110
28748,135580
28754,134991
28760,134404
28765,133787
28771,133048
28777,132289
28782,131789
28788,131262
28793,130899
28799,130598
28807,130330
28810,130091
28815,129921
28821,129809
28827,129769
28832,129704
28838,129663
28843,129669
28849,129711
28854,129779
28860,129811
28866,129954
28871,130091
28877,130117
28882,130286
28888,130383
28893,130563
28899,130750
28907,130866
28910,131010
28916,131268
28921,131407
28927,131600
28932,131804
28938,131960
28944,132098
28949,132219
28955,132390
28960,132518
28966,132612
28972,132681
28977,132779
28983,132882
28988,132911
28994,132958
28999,133063
29007,133075
29011,133108
29016,133154
29022,133109
29027,133162
29033,133210
29038,133206
29044,133245
29049,133275
29055,133268
29061,133378
29066,133365
29072,133388
29078,133461
29083,133538
29089,133561
29094,133650
29100,133708
29106,133792
29111,133830
29117,133956
29122,133923
29128,134104
29133,134107
29139,134204
29144,134306
29150,134391
29156,134424
29161,134555
29167,134586
29172,134668
29178,134728
29183,134828
29189,134874
29194,134995
29200,135087
29207,135206
29211,135280
29217,135453
29222,135526
29228,135641
29233,135767
29239,135853
29245,136016
29250,136114
29256,136191
29261,136344
29267,136392
29273,136494
29278,136598
29284,136654
29289,136875
29295,136771
29300,136860
29307,136896
29312,136951
29317,137075
29323,137047
29328,137204
29334,137284
29339,137369
29345,137402
29351,137505
29356,137530
29362,137561
29367,137671
29373,137660
29378,137691
29384,137627
29390,137477
29395,137383
29401,137062
29407,136756
29412,136331
29417,135894
29423,135386
29429,134835
29434,134341
29440,133752
29445,133035
29451,132416
29457,131865
29462,131391
29468,131101
29473,130744
29479,130524
29484,130294
29490,130088
29495,130008
29501,129831
29507,129852
29512,129759
29518,129818
29523,129767
29529,129859
29534,129910
29540,130022
29546,130103
29551,130238
29557,130386
29562,130521
29568,130704
29574,130807
29579,131086
29585,131173
29590,131338
29596,131625
29607,131787
29607,132009
29613,132217
29618,132426
29624,132605
29629,132746
29635,132886
29641,133042
29646,133174
29652,133291
29657,133339
29663,133437
29668,133540
29674,133584
29679,133582
29685,133585
29691,133633
29696,133662
29707,133642
29707,133680
29713,133730
29718,133740
29724,133726
29730,133754
29735,133763
29741,133836
29746,133865
29752,133845
29758,133974
29763,134020
29769,134004
29774,134210
29780,134247
29785,134358
29791,134456
29796,134532
29807,134664
29808,134788
29813,134821
29819,134921
29824,135021
29830,135086
29835,135227
29841,135352
29847,135399
29852,135505
29858,135668
29863,135705
29869,135792
29875,135906
29880,135995
29886,136091
29891,136159
29897,136236
29907,136341
29908,136448
29914,136458
29919,136577
29925,136707
29930,136723
29936,136898
29941,136964
29947,137080
29953,137162
29958,137285
29964,137404
29969,137490
29975,137589
29981,137694
29986,137768
29992,137849
29997,137912
30007,138036
30008,138091
30014,138200
30020,138263
30025,138370
30031,138405
30036,138513
30042,138637
30047,138532
30053,138660
30059,138647
30064,138581
30070,138490
30075,138253
30081,138055
30086,137716
30092,137233
30098,136800
30107,136174
30109,135588
30114,134991
30120,134360
30125,133672
30131,132907
30137,132253
30142,131704
30148,131216
30153,130721
30159,130562
30164,130338
30170,130147
30176,129927
30181,129782
30187,129717
30192,129549
30198,129548
30207,129471
30209,129412
30215,129470
30220,129434
30226,129552
30231,129588
30237,129632
30243,129748
30248,129957
30254,129982
30259,130195
30265,130310
30270,130433
30276,130683
30281,130846
30287,130977
30293,131117
30298,131267
30307,131347
30309,131497
30315,131606
30320,131752
30326,131895
30332,131951
30337,132121
30343,132184
30348,132238
30354,132311
30360,132354
30365,132367
30371,132374
30376,132317
30382,132303
30387,132260
30393,132177
30398,132084
30406,132029
30410,131884
30415,131757
30421,131640
30426,131541
30432,131402
30438,131348
30443,131270
30449,131214
30454,131070
30460,131045
30465,130952
30471,130877
30477,130898
30482,130864
30488,130896
30493,130889
30499,130873
30507,130952
30510,130977
30516,131049
30521,131105
30527,131188
30532,131241
30538,131362
30544,131382
30549,131609
30555,131628
30560,131699
30566,131786
30571,131878
30577,131914
30582,131970
30588,131992
30594,132167
30599,132210
30607,132372
30610,132421
30616,132528
30622,132614
30627,132601
30633,132898
30638,133145
30644,133214
30649,133347
30655,133513
30661,133628
30666,133835
30672,134007
30677,134109
30683,134266
30688,134376
30694,134567
30700,134711
30707,134858
30711,134966
30716,135126
30722,135111
30727,135289
30733,135387
30739,135498
30744,135461
30750,135511
30755,135382
30761,135212
30766,135037
30772,134724
30778,134384
30783,133901
30789,133272
30794,132594
30800,131939
30807,131276
30811,130684
30817,130164
30822,129581
30828,128948
30833,128354
30839,127748
30845,127243
30850,126740
30856,126283
30861,125938
30867,125663
30872,125396
30878,125176
30883,124962
30889,124831
30895,124704
30900,124596
30907,124547
30911,124467
30917,124440
30923,124514
30928,124421
30934,124514
30939,124531
30945,124656
30950,124689
30956,124884
30961,124976
30967,125092
30973,125198
30978,125317
30984,125477
30989,125642
30995,125684
31001,125746
31007,125830
31012,125899
31017,125978
31023,126091
31028,126064
31034,126109
31040,126108
31045,126062
31051,126190
31056,126108
31062,125988
31067,125960
31073,125919
31079,125800
31084,125760
31090,125693
31095,125597
31101,125516
31107,125448
31112,125432
31118,125421
31123,125365
31129,125361
31134,125337
31140,125357
31145,125325
31151,125354
31157,125398
31162,125407
31168,125410
31173,125482
31179,125552
31185,125575
31190,125642
31196,125683
31201,125849
31207,125832
31212,125878
31218,126042
31224,126032
31229,126117
31235,126183
31240,126237
31246,126209
31251,126356
31257,126392
31262,126542
31268,126586
31274,126339
31279,126181
31285,126266
31290,126537
31296,127011
31307,127094
31307,127250
31313,127326
31318,127358
31324,127466
31329,127556
31335,127610
31341,127688
31346,127707
31352,127763
31357,127813
31363,127862
31368,127907
31374,127910
31380,127958
31385,127975
31391,128065
31396,128101
31406,128143
31408,128236
31413,128250
31419,128308
31424,128420
31430,128429
31435,128559
31441,128651
31446,128664
31452,128754
31458,128756
